,Name,Developer,Link,24h Peak,All-Time Peak,Release Date,Since release,Rating
0,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.",https://steamdb.info/app/578080/graphs/,492345,3257248,21 December 2017,1500 days,😐 55.37%
1,New World,Amazon Games,https://steamdb.info/app/1063730/graphs/,74757,913634,28 September 2021,123 days,😌 68.47%
2,Terraria,Re-Logic,https://steamdb.info/app/105600/graphs/,51073,489886,16 May 2011,3911 days,😎 97.17%
3,PAYDAY 2,OVERKILL - a Starbreeze Studio.,https://steamdb.info/app/218620/graphs/,47121,247709,13 August 2013,3091 days,😋 88.28%
4,Valheim,Iron Gate AB,https://steamdb.info/app/892970/graphs/,38301,502387,2 February 2021,361 days,😎 94.70%
5,Halo Infinite,343 Industries,https://steamdb.info/app/1240440/graphs/,30342,272586,15 November 2021,75 days,😏 77.29%
6,Left 4 Dead 2,Valve,https://steamdb.info/app/550/graphs/,29477,162399,16 November 2009,4457 days,😎 96.54%
7,鬼谷八荒 Tale of Immortal,鬼谷工作室,https://steamdb.info/app/1468810/graphs/,25505,184171,27 January 2021,367 days,😋 86.40%
8,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,https://steamdb.info/app/261550/graphs/,25223,248216,30 March 2020,670 days,😋 86.49%
9,Monster Hunter: World,"CAPCOM Co., Ltd.",https://steamdb.info/app/582010/graphs/,24834,334684,9 August 2018,1269 days,😋 84.26%
10,Fallout 4,Bethesda Game Studios,https://steamdb.info/app/377160/graphs/,18592,472962,10 November 2015,2272 days,😏 79.83%
11,Counter-Strike,Valve,https://steamdb.info/app/10/graphs/,17382,319586,1 November 2000,7759 days,😎 96.29%
12,Football Manager 2021,Sports Interactive,https://steamdb.info/app/1263850/graphs/,17153,93865,24 November 2020,431 days,😍 91.20%
13,Crusader Kings III,Paradox Development Studio,https://steamdb.info/app/1158310/graphs/,15169,98872,1 September 2020,515 days,😍 91.76%
14,Among Us,Innersloth,https://steamdb.info/app/945360/graphs/,14740,447476,16 November 2018,1170 days,😍 91.49%
15,Forza Horizon 5,Playground Games,https://steamdb.info/app/1551360/graphs/,14723,81096,9 November 2021,81 days,😋 85.16%
16,Age of Empires IV,Relic Entertainment,https://steamdb.info/app/1466860/graphs/,13684,73928,28 October 2021,93 days,😋 86.36%
17,World of Warships,Wargaming Group Limited,https://steamdb.info/app/552990/graphs/,13363,379096,15 November 2017,1536 days,😏 79.51%
18,Cyberpunk 2077,CD PROJEKT RED,https://steamdb.info/app/1091500/graphs/,13225,1054388,10 December 2020,415 days,😏 75.25%
19,SCUM,Gamepires,https://steamdb.info/app/513710/graphs/,13048,68322,29 August 2018,1249 days,😏 73.30%
20,DARK SOULS™ III,"FromSoftware, Inc.",https://steamdb.info/app/374320/graphs/,12803,129975,11 April 2016,2119 days,😍 93.29%
21,Paladins,Evil Mojo Games,https://steamdb.info/app/444090/graphs/,11836,60743,8 May 2018,1362 days,😋 84.99%
22,Fall Guys: Ultimate Knockout,Mediatonic,https://steamdb.info/app/1097150/graphs/,10508,172213,,,
23,Risk of Rain 2,Hopoo Games,https://steamdb.info/app/632360/graphs/,10346,71548,11 August 2020,536 days,😎 95.30%
24,Farming Simulator 19,Giants Software,https://steamdb.info/app/787860/graphs/,10243,59466,19 November 2018,1167 days,😍 92.27%
