STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",1/1/2015,0,39,27
USW00014732,"LAGUARDIA AIRPORT, NY US",1/2/2015,0,42,35
USW00014732,"LAGUARDIA AIRPORT, NY US",1/3/2015,0.67,41,31
USW00014732,"LAGUARDIA AIRPORT, NY US",1/4/2015,0.31,57,41
USW00014732,"LAGUARDIA AIRPORT, NY US",1/5/2015,0,50,22
USW00014732,"LAGUARDIA AIRPORT, NY US",1/6/2015,0.05,22,18
USW00014732,"LAGUARDIA AIRPORT, NY US",1/7/2015,0,25,10
USW00014732,"LAGUARDIA AIRPORT, NY US",1/8/2015,0,21,8
USW00014732,"LAGUARDIA AIRPORT, NY US",1/9/2015,0.12,33,19
USW00014732,"LAGUARDIA AIRPORT, NY US",1/10/2015,0,24,17
USW00014732,"LAGUARDIA AIRPORT, NY US",1/11/2015,0,37,19
USW00014732,"LAGUARDIA AIRPORT, NY US",1/12/2015,0.39,39,34
USW00014732,"LAGUARDIA AIRPORT, NY US",1/13/2015,0,36,17
USW00014732,"LAGUARDIA AIRPORT, NY US",1/14/2015,0,32,17
USW00014732,"LAGUARDIA AIRPORT, NY US",1/15/2015,0,34,25
USW00014732,"LAGUARDIA AIRPORT, NY US",1/16/2015,0,42,20
USW00014732,"LAGUARDIA AIRPORT, NY US",1/17/2015,0,30,17
USW00014732,"LAGUARDIA AIRPORT, NY US",1/18/2015,1.98,43,29
USW00014732,"LAGUARDIA AIRPORT, NY US",1/19/2015,0,42,37
USW00014732,"LAGUARDIA AIRPORT, NY US",1/20/2015,0,40,32
USW00014732,"LAGUARDIA AIRPORT, NY US",1/21/2015,0,35,25
USW00014732,"LAGUARDIA AIRPORT, NY US",1/22/2015,0,39,31
USW00014732,"LAGUARDIA AIRPORT, NY US",1/23/2015,0,39,28
USW00014732,"LAGUARDIA AIRPORT, NY US",1/24/2015,0.73,40,32
USW00014732,"LAGUARDIA AIRPORT, NY US",1/25/2015,0,42,30
USW00014732,"LAGUARDIA AIRPORT, NY US",1/26/2015,0.3,30,22
USW00014732,"LAGUARDIA AIRPORT, NY US",1/27/2015,0.25,28,19
USW00014732,"LAGUARDIA AIRPORT, NY US",1/28/2015,0,34,17
USW00014732,"LAGUARDIA AIRPORT, NY US",1/29/2015,0.03,36,21
USW00014732,"LAGUARDIA AIRPORT, NY US",1/30/2015,0.15,37,20
USW00014732,"LAGUARDIA AIRPORT, NY US",1/31/2015,0,26,13
USW00014732,"LAGUARDIA AIRPORT, NY US",2/1/2015,0.04,36,20
USW00014732,"LAGUARDIA AIRPORT, NY US",2/2/2015,1.08,33,15
USW00014732,"LAGUARDIA AIRPORT, NY US",2/3/2015,0,28,14
USW00014732,"LAGUARDIA AIRPORT, NY US",2/4/2015,0,41,23
USW00014732,"LAGUARDIA AIRPORT, NY US",2/5/2015,0,40,14
USW00014732,"LAGUARDIA AIRPORT, NY US",2/6/2015,0,27,12
USW00014732,"LAGUARDIA AIRPORT, NY US",2/7/2015,0.01,36,26
USW00014732,"LAGUARDIA AIRPORT, NY US",2/8/2015,0,36,30
USW00014732,"LAGUARDIA AIRPORT, NY US",2/9/2015,0.07,31,26
USW00014732,"LAGUARDIA AIRPORT, NY US",2/10/2015,0,39,26
USW00014732,"LAGUARDIA AIRPORT, NY US",2/11/2015,0,33,22
USW00014732,"LAGUARDIA AIRPORT, NY US",2/12/2015,0,40,17
USW00014732,"LAGUARDIA AIRPORT, NY US",2/13/2015,0,22,9
USW00014732,"LAGUARDIA AIRPORT, NY US",2/14/2015,0.05,32,16
USW00014732,"LAGUARDIA AIRPORT, NY US",2/15/2015,0.01,26,5
USW00014732,"LAGUARDIA AIRPORT, NY US",2/16/2015,0,21,4
USW00014732,"LAGUARDIA AIRPORT, NY US",2/17/2015,0.13,28,14
USW00014732,"LAGUARDIA AIRPORT, NY US",2/18/2015,0,31,18
USW00014732,"LAGUARDIA AIRPORT, NY US",2/19/2015,0,27,9
USW00014732,"LAGUARDIA AIRPORT, NY US",2/20/2015,0,21,3
USW00014732,"LAGUARDIA AIRPORT, NY US",2/21/2015,0.6,32,14
USW00014732,"LAGUARDIA AIRPORT, NY US",2/22/2015,0.11,42,31
USW00014732,"LAGUARDIA AIRPORT, NY US",2/23/2015,0,38,8
USW00014732,"LAGUARDIA AIRPORT, NY US",2/24/2015,0,25,6
USW00014732,"LAGUARDIA AIRPORT, NY US",2/25/2015,0,38,21
USW00014732,"LAGUARDIA AIRPORT, NY US",2/26/2015,0,32,21
USW00014732,"LAGUARDIA AIRPORT, NY US",2/27/2015,0,30,19
USW00014732,"LAGUARDIA AIRPORT, NY US",2/28/2015,0,30,15
USW00014732,"LAGUARDIA AIRPORT, NY US",3/1/2015,0.48,30,24
USW00014732,"LAGUARDIA AIRPORT, NY US",3/2/2015,0,38,28
USW00014732,"LAGUARDIA AIRPORT, NY US",3/3/2015,0.72,36,24
USW00014732,"LAGUARDIA AIRPORT, NY US",3/4/2015,0.25,47,36
USW00014732,"LAGUARDIA AIRPORT, NY US",3/5/2015,0.6,41,20
USW00014732,"LAGUARDIA AIRPORT, NY US",3/6/2015,0,28,15
USW00014732,"LAGUARDIA AIRPORT, NY US",3/7/2015,0,39,20
USW00014732,"LAGUARDIA AIRPORT, NY US",3/8/2015,0,49,35
USW00014732,"LAGUARDIA AIRPORT, NY US",3/9/2015,0.02,54,36
USW00014732,"LAGUARDIA AIRPORT, NY US",3/10/2015,0.42,54,33
USW00014732,"LAGUARDIA AIRPORT, NY US",3/11/2015,0.02,60,37
USW00014732,"LAGUARDIA AIRPORT, NY US",3/12/2015,0,47,37
USW00014732,"LAGUARDIA AIRPORT, NY US",3/13/2015,0,43,31
USW00014732,"LAGUARDIA AIRPORT, NY US",3/14/2015,1.02,51,37
USW00014732,"LAGUARDIA AIRPORT, NY US",3/15/2015,0,47,37
USW00014732,"LAGUARDIA AIRPORT, NY US",3/16/2015,0,51,36
USW00014732,"LAGUARDIA AIRPORT, NY US",3/17/2015,0.01,54,34
USW00014732,"LAGUARDIA AIRPORT, NY US",3/18/2015,0,38,28
USW00014732,"LAGUARDIA AIRPORT, NY US",3/19/2015,0,42,29
USW00014732,"LAGUARDIA AIRPORT, NY US",3/20/2015,0.28,38,29
USW00014732,"LAGUARDIA AIRPORT, NY US",3/21/2015,0.01,48,29
USW00014732,"LAGUARDIA AIRPORT, NY US",3/22/2015,0,44,28
USW00014732,"LAGUARDIA AIRPORT, NY US",3/23/2015,0,38,24
USW00014732,"LAGUARDIA AIRPORT, NY US",3/24/2015,0,44,26
USW00014732,"LAGUARDIA AIRPORT, NY US",3/25/2015,0.05,48,32
USW00014732,"LAGUARDIA AIRPORT, NY US",3/26/2015,0.24,57,38
USW00014732,"LAGUARDIA AIRPORT, NY US",3/27/2015,0.28,46,40
USW00014732,"LAGUARDIA AIRPORT, NY US",3/28/2015,0,41,27
USW00014732,"LAGUARDIA AIRPORT, NY US",3/29/2015,0,46,27
USW00014732,"LAGUARDIA AIRPORT, NY US",3/30/2015,0,55,34
USW00014732,"LAGUARDIA AIRPORT, NY US",3/31/2015,0.14,47,36
USW00014732,"LAGUARDIA AIRPORT, NY US",4/1/2015,0,51,34
USW00014732,"LAGUARDIA AIRPORT, NY US",4/2/2015,0,63,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/3/2015,0.04,63,53
USW00014732,"LAGUARDIA AIRPORT, NY US",4/4/2015,0,60,44
USW00014732,"LAGUARDIA AIRPORT, NY US",4/5/2015,0,62,43
USW00014732,"LAGUARDIA AIRPORT, NY US",4/6/2015,0,60,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/7/2015,0.17,57,42
USW00014732,"LAGUARDIA AIRPORT, NY US",4/8/2015,0,46,38
USW00014732,"LAGUARDIA AIRPORT, NY US",4/9/2015,0.01,44,37
USW00014732,"LAGUARDIA AIRPORT, NY US",4/10/2015,0.24,57,39
USW00014732,"LAGUARDIA AIRPORT, NY US",4/11/2015,0,57,45
USW00014732,"LAGUARDIA AIRPORT, NY US",4/12/2015,0,65,44
USW00014732,"LAGUARDIA AIRPORT, NY US",4/13/2015,0,65,47
USW00014732,"LAGUARDIA AIRPORT, NY US",4/14/2015,0,65,53
USW00014732,"LAGUARDIA AIRPORT, NY US",4/15/2015,0,70,51
USW00014732,"LAGUARDIA AIRPORT, NY US",4/16/2015,0,62,47
